# METADATA:
# 000EW: Paris 20Ãšme - Porte de Vincennes
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000EW;2026-06-15 04:00:00;15.3;1016.1;70;9.9;4;;349;0;0
000EW;2026-06-15 04:10:00;15.3;1016.1;71;10.1;2.4;;338;;
000EW;2026-06-15 04:20:00;15.3;1016;71;10.1;4;;11;;
000EW;2026-06-15 04:30:00;15.4;1016;71;10.2;1.6;;79;;
000EW;2026-06-15 04:40:00;15.5;1016;71;10.3;3.2;;79;;
000EW;2026-06-15 04:50:00;15.6;1016;71;10.3;1.6;;338;;
000EW;2026-06-15 05:00:00;15.6;1015.9;71;10.3;3.2;;225;0;0
000EW;2026-06-15 05:10:00;15.5;1015.9;71;10.3;4;;158;;
000EW;2026-06-15 05:20:00;15.4;1015.9;71;10.2;4;;158;;
000EW;2026-06-15 05:30:00;15.4;1015.8;71;10.2;4.8;;158;;
000EW;2026-06-15 05:40:00;15.6;1015.8;70;10.1;4.8;;158;;
000EW;2026-06-15 05:50:00;15.7;1015.9;69;10;4;;158;;
000EW;2026-06-15 06:00:00;15.9;1016;69;10.2;4;;146;0;0
000EW;2026-06-15 06:10:00;16;1016;68;10.1;4;;158;;
000EW;2026-06-15 06:20:00;16.2;1016.1;68;10.3;4.8;;158;;
000EW;2026-06-15 06:30:00;16.3;1016;68;10.4;3.2;;180;;
000EW;2026-06-15 06:40:00;16.7;1016.1;67;10.5;3.2;;90;;
000EW;2026-06-15 06:50:00;16.9;1015.9;66;10.5;3.2;;11;;
000EW;2026-06-15 07:00:00;17.2;1016.1;65;10.6;4;;158;0;0
000EW;2026-06-15 07:10:00;17.6;1016.1;63;10.5;4;;79;;
000EW;2026-06-15 07:20:00;18.1;1016;62;10.7;4;;11;;
000EW;2026-06-15 07:30:00;18.5;1016.1;61;10.8;3.2;;113;;
000EW;2026-06-15 07:40:00;18.9;1016.2;60;10.9;4.8;;158;;
000EW;2026-06-15 07:50:00;19.3;1016.1;59;11.1;4;;360;;
000EW;2026-06-15 08:00:00;19.5;1016.3;58;11;4.8;;169;0;0
000EW;2026-06-15 08:10:00;19.9;1016.2;58;11.4;3.2;;191;;
000EW;2026-06-15 08:20:00;20.2;1016.2;57;11.4;4.8;;146;;
000EW;2026-06-15 08:30:00;20.4;1016.3;56;11.4;3.2;;146;;
000EW;2026-06-15 08:40:00;20.7;1016.2;56;11.6;4;;34;;
000EW;2026-06-15 08:50:00;20.9;1016;56;11.8;3.2;;246;;
000EW;2026-06-15 09:00:00;21.1;1015.8;55;11.7;4;;338;0;0
000EW;2026-06-15 09:10:00;21.2;1015.9;54;11.5;4;;23;;
000EW;2026-06-15 09:20:00;21.6;1015.9;54;11.9;4.8;;68;;
000EW;2026-06-15 09:30:00;21.8;1016.1;53;11.8;2.4;;113;;
000EW;2026-06-15 09:40:00;22.1;1016;53;12.1;4.8;;68;;
000EW;2026-06-15 09:50:00;22.6;1015.6;52;12.2;3.2;;90;;
000EW;2026-06-15 10:00:00;22.8;1015.4;51;12.1;3.2;;146;0;0
000EW;2026-06-15 10:10:00;22.8;1015.5;51;12.2;4;;246;;
000EW;2026-06-15 10:20:00;22.3;1015.8;52;11.9;4;;135;;
000EW;2026-06-15 10:30:00;22.4;1015.6;52;12.1;4.8;;11;;
000EW;2026-06-15 10:40:00;22.6;1015.7;51;11.9;7.2;;158;;
000EW;2026-06-15 10:50:00;22.9;1015.6;50;11.9;4;;169;;
000EW;2026-06-15 11:00:00;23.2;1015.5;49;11.9;3.2;;68;0;0
000EW;2026-06-15 11:10:00;23.5;1015.3;48;11.8;5.6;;124;;
000EW;2026-06-15 11:20:00;23.8;1015.3;47;11.8;4;;146;;
000EW;2026-06-15 11:30:00;24.1;1015.3;47;12.1;6.4;;158;;
000EW;2026-06-15 11:40:00;24.3;1015.4;48;12.6;4;;135;;
000EW;2026-06-15 11:50:00;24.8;1015.1;47;12.7;3.2;;203;;
000EW;2026-06-15 12:00:00;25.2;1015.1;46;12.7;4.8;;135;0;0
000EW;2026-06-15 12:10:00;25.4;1014.9;46;12.9;4.8;;135;;
000EW;2026-06-15 12:20:00;25.8;1014.8;44;12.6;4.8;;135;;
000EW;2026-06-15 12:30:00;25.8;1014.8;44;12.6;4.8;;281;;
000EW;2026-06-15 12:40:00;26;1014.7;44;12.8;4.8;;214;;
000EW;2026-06-15 12:50:00;26.3;1014.6;42;12.3;4;;158;;
000EW;2026-06-15 13:00:00;26.4;1014.6;42;12.4;4.8;;169;0;0
000EW;2026-06-15 13:10:00;26.3;1014.5;42;12.4;4.8;;225;;
000EW;2026-06-15 13:20:00;26.7;1014.3;40;11.9;4;;225;;
000EW;2026-06-15 13:30:00;27.2;1014.4;40;12.4;4.8;;90;;
000EW;2026-06-15 13:40:00;26.9;1014.4;39;11.8;5.6;;135;;
000EW;2026-06-15 13:50:00;26.5;1014.4;41;12.2;5.6;;191;;
000EW;2026-06-15 14:00:00;26.7;1014.3;41;12.3;4.8;;79;0;0
000EW;2026-06-15 14:10:00;26.6;1014.2;41;12.2;5.6;;169;;
000EW;2026-06-15 14:20:00;26.7;1014.1;41;12.4;4;;158;;
000EW;2026-06-15 14:30:00;26.8;1014.1;41;12.4;4;;158;;
000EW;2026-06-15 14:40:00;26.8;1014.1;41;12.4;3.2;;45;;
000EW;2026-06-15 14:50:00;27.1;1013.9;41;12.7;2.4;;180;;
000EW;2026-06-15 15:00:00;27.3;1013.7;41;12.9;4;;135;0;0
000EW;2026-06-15 15:10:00;27.1;1013.7;41;12.7;3.2;;158;;
000EW;2026-06-15 15:20:00;26.9;1013.5;42;12.9;4.8;;146;;
000EW;2026-06-15 15:30:00;27;1013.3;42;13;4.8;;146;;
000EW;2026-06-15 15:40:00;27.3;1013.1;42;13.2;5.6;;158;;
000EW;2026-06-15 15:50:00;27.5;1013.1;41;13.1;4.8;;146;;
000EW;2026-06-15 16:00:00;27.6;1013;41;13.1;4.8;;146;0;0
000EW;2026-06-15 16:10:00;27.4;1012.9;42;13.4;4.8;;146;;
000EW;2026-06-15 16:20:00;27.4;1012.8;42;13.3;5.6;;135;;
000EW;2026-06-15 16:30:00;27.3;1012.7;42;13.3;4.8;;124;;
000EW;2026-06-15 16:40:00;27.3;1012.6;42;13.2;5.6;;146;;
000EW;2026-06-15 16:50:00;27.4;1012.6;42;13.3;4.8;;146;;
000EW;2026-06-15 17:00:00;27.3;1012.6;42;13.3;4.8;;135;0;0
000EW;2026-06-15 17:10:00;27.3;1012.6;43;13.6;4.8;;158;;
000EW;2026-06-15 17:20:00;27.2;1012.5;42;13.1;5.6;;146;;
000EW;2026-06-15 17:30:00;27;1012.5;43;13.3;4.8;;146;;
